make,model,variant,cc,seating_capacity,fuel_type,local_output,,,,,,,,,,,,,,,,,,,
ROLLS-ROYCE,PHANTOM,SEDAN,6749,5,PETROL,12900,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,GRAND HIACE,NULL,3400,6,DIESEL,23093,,,,,,,,,,,,,,,,,,,
ASTON MARTIN,V8 VANTAGE S,COUPE,4735,2,PETROL,21929,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,LEXUS LS,LS 430,4293,5,PETROL,24176,,,,,,,,,,,,,,,,,,,
MAHINDRA RENAULT,LOGAN,K9k,1461,5,DIESEL,24105,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,FORTUNER,4 X 2 MT,2982,7,DIESEL,25876,,,,,,,,,,,,,,,,,,,
SKODA,FABIA,SCOUT 1.2 TDI,1199,5,DIESEL,24160,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,BEAT,LT 1.2 LPG,1199,5,LPG,21613,,,,,,,,,,,,,,,,,,,
MORRIS,MINOR,1000,800,4,PETROL,24224,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,SAIL U-VA,1.2 LS ABS,1199,5,PETROL,25623,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,SAIL U-VA,1.2 LS,1199,5,PETROL,25625,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,ENJOY,1.3 TCDI LS 8 STR,1248,8,DIESEL,26189,,,,,,,,,,,,,,,,,,,
AUDI,AUDI A8,3.0 TDI QUATTRO,2967,5,DIESEL,12418,,,,,,,,,,,,,,,,,,,
MAHINDRA RENAULT,LOGAN,DSL 1.5 E2,1461,5,DIESEL,24218,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,INDICA EV2 XETA,GL,1193,5,PETROL,25689,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,FORTUNER,2012 4 X 4 MT,2982,7,DIESEL,22950,,,,,,,,,,,,,,,,,,,
AUDI,AUDI Q7,4.2 TDI QUATTRO,4134,7,DIESEL,24232,,,,,,,,,,,,,,,,,,,
MARUTI,SX4,GREEN VXI,1586,5,CNG,24514,,,,,,,,,,,,,,,,,,,
FORD,FIESTA CLASSIC,1.4 TDCI TITANIUM,1399,5,DIESEL,25288,,,,,,,,,,,,,,,,,,,
MARUTI,STINGRAY,VXI,998,5,PETROL,26630,,,,,,,,,,,,,,,,,,,
TVS,TVS KING,NULL,200,4,PETROL,24353,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,CORONA,NULL,1500,5,DIESEL,24516,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,SPARK,1.0 LT LPG,995,5,LPG,21861,,,,,,,,,,,,,,,,,,,
JEEP,WRANGLER,UNLIMITED SPORTS 4*4,3778,4,DIESEL,29989,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,FORTUNER,FD 2WD,2982,7,DIESEL,24223,,,,,,,,,,,,,,,,,,,
MITSUBISHI,PAJERO SPORT,2.5 AT,2477,7,DIESEL,28934,,,,,,,,,,,,,,,,,,,
BMW,3-SERIES,320i LUXURY LINE,1998,5,PETROL,32027,,,,,,,,,,,,,,,,,,,
BMW,X1,S DRIVE 20D EXPEDITION,1995,5,DIESEL,31857,,,,,,,,,,,,,,,,,,,
AUDI,AUDI Q3,35 TDI QUATTRO PREMIUM WITH SUNROOF,1968,5,DIESEL,33591,,,,,,,,,,,,,,,,,,,
BMW,5-SERIES,520i LUXURY LINE,1997,5,PETROL,32334,,,,,,,,,,,,,,,,,,,
MARUTI,RITZ,AT,1197,5,PETROL,31971,,,,,,,,,,,,,,,,,,,
CADILLAC,ESCALADE,PREMIUM 8 SPEED AT,6200,6,PETROL,32433,,,,,,,,,,,,,,,,,,,
MITSUBISHI,PAJERO,GLS,2835,6,PETROL,20170,,,,,,,,,,,,,,,,,,,
JEEP,GRAND CHEROKEE,SUMMIT 3.0,2987,5,DIESEL,27413,,,,,,,,,,,,,,,,,,,
AUDI,AUDI Q3,35 TDI TECHNOLOGY,1968,5,DIESEL,31948,,,,,,,,,,,,,,,,,,,
MASERATI,QUATTROPORTE,DIESEL,2987,4,DIESEL,31955,,,,,,,,,,,,,,,,,,,
FIAT,GRANDE PUNTO,1.3 SPORT,1248,5,DIESEL,24320,,,,,,,,,,,,,,,,,,,
MITSUBISHI,PAJERO,3.2 DI,3200,6,DIESEL,17459,,,,,,,,,,,,,,,,,,,
BENTLEY,BENTLEY CONTINENTAL,SUPER SPORTS,6000,2,PETROL,32435,,,,,,,,,,,,,,,,,,,
MARUTI,GYPSY,1.3,1298,8,PETROL,32192,,,,,,,,,,,,,,,,,,,
LAMBORGHINI,HURACAN,LP 580-2,5204,2,PETROL,32003,,,,,,,,,,,,,,,,,,,
AUDI,AUDI Q3,35 TDI TECHNOLOGY WITH NAVIGATION,1968,5,DIESEL,32543,,,,,,,,,,,,,,,,,,,
ASTON MARTIN,RAPIDE,S,5935,4,PETROL,33496,,,,,,,,,,,,,,,,,,,
MARUTI,SWIFT DZIRE,VDI (O),1248,5,DIESEL,31935,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,ETIOS CROSS,1.4 GD,1364,5,DIESEL,28005,,,,,,,,,,,,,,,,,,,
MARUTI,ALTO,K10 VXI AMT (O),998,5,PETROL,31855,,,,,,,,,,,,,,,,,,,
FORD,MUSTANG,GT FASTBACK,4951,4,PETROL,32127,,,,,,,,,,,,,,,,,,,
MARUTI,WAGON R,1.0 LXI CNG (O),998,5,CNG,32287,,,,,,,,,,,,,,,,,,,
MINI,MINI COOPER S,CONVERTIBLE,1998,4,PETROL,33674,,,,,,,,,,,,,,,,,,,
EICHER POLARIS PVT LTD,MULTIX,MX,511,5,DIESEL,30398,,,,,,,,,,,,,,,,,,,
VOLKSWAGEN,AMEO,1.5L HIGHLINE (D),1498,5,DIESEL,32528,,,,,,,,,,,,,,,,,,,
VOLKSWAGEN,AMEO,1.5L COMFORTLINE AT (D),1498,5,DIESEL,32527,,,,,,,,,,,,,,,,,,,
VOLKSWAGEN,AMEO,1.5L HIGHLINE AT (D),1498,5,DIESEL,32526,,,,,,,,,,,,,,,,,,,
AUDI,AUDI Q7,45 TDI TECHNOLOGY PACK,2967,7,DIESEL,30778,,,,,,,,,,,,,,,,,,,
MARUTI,ALTO,LXI,796,5,PETROL,12763,,,,,,,,,,,,,,,,,,,
MARUTI,ESTEEM,LXI,1298,5,PETROL,12772,,,,,,,,,,,,,,,,,,,
MARUTI,ZEN,LX,993,5,PETROL,19274,,,,,,,,,,,,,,,,,,,
MARUTI,ZEN,LXI,993,5,PETROL,12826,,,,,,,,,,,,,,,,,,,
MARUTI,CIAZ,VDI (O),1248,5,DIESEL,30639,,,,,,,,,,,,,,,,,,,
MARUTI,SWIFT DZIRE,LXI (O),1197,5,PETROL,30442,,,,,,,,,,,,,,,,,,,
BMW,5-SERIES,550i,4395,5,PETROL,32038,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,INNOVA,2.0 VX - 8 SEATER,1998,8,PETROL,13050,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,FORTUNER,2.7 4x2 MT,2694,7,PETROL,33508,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,FORTUNER,2.7 4x2 AT,2694,7,PETROL,33507,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,FORTUNER,2.8 4x2 MT,2755,7,DIESEL,33506,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,FORTUNER,2.8 4x4 MT,2755,7,DIESEL,33504,,,,,,,,,,,,,,,,,,,
BMW,3-SERIES,320i PRESTIGE,1998,5,PETROL,32028,,,,,,,,,,,,,,,,,,,
AUDI,AUDI Q5,2.0 TDI QUATTRO PREMIUM,1968,5,DIESEL,29085,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,FORTUNER,4X2 MT 3.0L,2982,7,DIESEL,32185,,,,,,,,,,,,,,,,,,,
SKODA,RAPID,1.6 MPI STYLE AT,1598,5,PETROL,33683,,,,,,,,,,,,,,,,,,,
TOYOTA MOTORS,LAND CRUISER,URJ202,4600,7,DIESEL,33630,,,,,,,,,,,,,,,,,,,
PEUGEOT,PEUGEOT,309,1527,5,DIESEL,21828,,,,,,,,,,,,,,,,,,,
MARUTI,SWIFT,VDI (O),1248,5,DIESEL,31486,,,,,,,,,,,,,,,,,,,
MARUTI,SWIFT,LDI (O),1248,5,DIESEL,31485,,,,,,,,,,,,,,,,,,,
FIAT,LINEA,DYNAMIC 1.3,1248,5,DIESEL,26601,,,,,,,,,,,,,,,,,,,
VOLKSWAGEN,CROSS POLO,1.5 TDI,1498,5,DIESEL,29836,,,,,,,,,,,,,,,,,,,
MAYBACH,S 500 MAYBACH,NULL,4663,4,PETROL,30440,,,,,,,,,,,,,,,,,,,
BMW,X6,M,4395,5,PETROL,33535,,,,,,,,,,,,,,,,,,,
FORD,FIGO,1.5 TITANIUM AT PETROL,1499,5,PETROL,30585,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,INNOVA,2.0 G,1998,7,PETROL,19832,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,INNOVA,2.0 V 7STR,1998,7,PETROL,21518,,,,,,,,,,,,,,,,,,,
BMW,3-SERIES,328i SPORT LINE,1997,5,PETROL,26485,,,,,,,,,,,,,,,,,,,
BMW,GRAN TURISMO,330i LUXURY LINE,1998,5,PETROL,33612,,,,,,,,,,,,,,,,,,,
BMW,M-SERIES,M5 SEDAN 4.4L,4395,5,PETROL,32358,,,,,,,,,,,,,,,,,,,
SKODA,RAPID,1.6 MPI STYLE PLUS BLACK PACKAGE AT,1598,5,PETROL,30877,,,,,,,,,,,,,,,,,,,
VOLKSWAGEN,AMEO,1.5L TRENDLINE (D),1498,5,DIESEL,32529,,,,,,,,,,,,,,,,,,,
VOLKSWAGEN,AMEO,1.5L COMFORTLINE (D),1498,5,DIESEL,32530,,,,,,,,,,,,,,,,,,,
SKODA,RAPID,1.6 MPI AMBITION AT,1598,5,PETROL,33682,,,,,,,,,,,,,,,,,,,
FIAT,LINEA,1.4L T-JET EMOTION PREMIUM,1368,5,PETROL,31498,,,,,,,,,,,,,,,,,,,
AUDI,AUDI A3,35 TDI PREMIUM PLUS SUNROOF,1968,5,DIESEL,33617,,,,,,,,,,,,,,,,,,,
SSANGYONG,TIVOLI,SE 2WD DIESEL,1597,5,DIESEL,31093,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,TIAGO,REVOTORQ XE,1047,5,DIESEL,31402,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,TRAILBLAZER,LTZ AT,2776,7,DIESEL,30687,,,,,,,,,,,,,,,,,,,
AUDI,AUDI Q7,45 TDI TECHNOLOGY PACK 6 SEATER,2967,6,DIESEL,30824,,,,,,,,,,,,,,,,,,,
VOLKSWAGEN,JETTA,2.0 AT HIGHLINE,1968,5,DIESEL,24135,,,,,,,,,,,,,,,,,,,
MITSUBISHI,PAJERO SPORT,2.5 MT,2477,7,DIESEL,23134,,,,,,,,,,,,,,,,,,,
VOLVO,XC60,D3,1984,5,PETROL,25723,,,,,,,,,,,,,,,,,,,
AUDI,AUDI S6,4.0 TFSI,3993,5,PETROL,26659,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,INNOVA,2.0 G1,1998,8,PETROL,13046,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,INNOVA,2.0 V,1998,8,PETROL,13049,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,INNOVA,2.0 G 8 STR,1998,8,PETROL,27707,,,,,,,,,,,,,,,,,,,
VOLVO,S60,T6 PETROL,2000,5,PETROL,33365,,,,,,,,,,,,,,,,,,,
PORSCHE,BOXSTER,GTS,3436,2,PETROL,35873,,,,,,,,,,,,,,,,,,,
FERRARI,FF,NULL,6262,4,PETROL,29673,,,,,,,,,,,,,,,,,,,
FIAT,URBAN CROSS,EMOTION T-JET 1.4,1368,5,PETROL,35925,,,,,,,,,,,,,,,,,,,
JEEP,GRAND CHEROKEE,SRT,6417,5,PETROL,35978,,,,,,,,,,,,,,,,,,,
JEEP,GRAND CHEROKEE,LIMITED,2987,5,DIESEL,35977,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,BOLT,XT Petrol,1193,5,PETROL,29316,,,,,,,,,,,,,,,,,,,
BMW,7-SERIES,740LI SEDAN,2979,4,PETROL,12443,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,INDIGO,LX TDI - BS III,1405,5,DIESEL,12964,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,SAIL,1.2 LS ABS,1199,5,PETROL,25896,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,INDIGO,LS,1405,5,DIESEL,25682,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,INDIGO MANZA,EX QUADRAJET,1248,5,DIESEL,25666,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,E-CLASS,63 AMG,5461,5,PETROL,22962,,,,,,,,,,,,,,,,,,,
MINI,MINI S,1.6.,1598,5,PETROL,22981,,,,,,,,,,,,,,,,,,,
PORSCHE,911,CARRERA 3.0,2981,4,PETROL,35948,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,SL 500,500 CONVERTIBLE,4966,2,PETROL,24266,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,E-CLASS,280 ELEGANCE,2997,5,PETROL,12844,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,SL,600 ROADSTER,5513,4,PETROL,12850,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,E-CLASS,240 V6 MT,2597,5,PETROL,17639,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,ETIOS,TRD SPORTIVO PETROL,1496,5,PETROL,25777,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,E-CLASS,E 350 CABRIOLET,3498,4,PETROL,20737,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,INDIGO,LX DICOR - BS III,1396,5,DIESEL,12963,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,S-CLASS,350 L,3498,5,PETROL,12848,,,,,,,,,,,,,,,,,,,
VOLVO,XC90,V8 AWD,4414,7,PETROL,13092,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,M-CLASS,ML 350 AT,3498,5,PETROL,22596,,,,,,,,,,,,,,,,,,,
FORD,ECOSPORT,AMBIENTE 1.5 Ti-VCT,1499,5,PETROL,26383,,,,,,,,,,,,,,,,,,,
VOLKSWAGEN,AMEO,COMFORTLINE,1198,5,PETROL,31824,,,,,,,,,,,,,,,,,,,
FIAT,GRANDE PUNTO,1.4 EMOTION PACK,1368,5,PETROL,12473,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,OPTRA,1.6 LT ROYALE,1598,5,PETROL,12550,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,OPTRA,1.6 ELITE,1598,5,PETROL,12547,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,OPTRA,1.6 LS,1599,5,PETROL,12548,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,AVEO,1.6 LT,1598,5,PETROL,12533,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,AVEO,1.6 LT (OPTION PACK),1598,5,PETROL,12534,,,,,,,,,,,,,,,,,,,
PORSCHE,MACAN,Turbo,3604,5,PETROL,29869,,,,,,,,,,,,,,,,,,,
MARUTI,WAGON R DUO,1.0 Lxi,998,5,LPG,27869,,,,,,,,,,,,,,,,,,,
MARUTI,IGNIS,ZETA PETROL AMT,1197,5,PETROL,35644,,,,,,,,,,,,,,,,,,,
MARUTI,IGNIS,DELTA PETROL AMT,1197,5,PETROL,35645,,,,,,,,,,,,,,,,,,,
MARUTI,IGNIS,SIGMA PETROL,1197,5,PETROL,35646,,,,,,,,,,,,,,,,,,,
AUDI,AUDI Q3,35 TDI QUATTRO PREMIUM PLUS,1968,5,DIESEL,29692,,,,,,,,,,,,,,,,,,,
AUDI,AUDI Q3,35 TDI QUATTRO PREMIUM,1968,5,DIESEL,29693,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,AMG,GT S,3982,2,PETROL,30768,,,,,,,,,,,,,,,,,,,
MARUTI,WAGON R,VXI PLUS (O),998,5,PETROL,35722,,,,,,,,,,,,,,,,,,,
FORD,FIESTA,1.4 EXI,1388,5,PETROL,16969,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,SUMO,SPACIO SA GOLD,2956,10,DIESEL,13023,,,,,,,,,,,,,,,,,,,
FIAT,LINEA,1.4L T-JET DYNAMIC,1368,5,PETROL,32330,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,INDIGO,VS - BS III,1405,5,DIESEL,12968,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,SAIL HATCHBACK,1.3 BASE,1248,5,DIESEL,30253,,,,,,,,,,,,,,,,,,,
FIAT,GRANDE PUNTO,1.4 DYNAMIC,1368,5,PETROL,12471,,,,,,,,,,,,,,,,,,,
VOLVO,XC90,V8 AWD,4414,7,PETROL,13092,,,,,,,,,,,,,,,,,,,
AUDI,AUDI A4,30 TFSI TECHNOLOGY PACK,1395,5,PETROL,32439,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,OPTRA,1.6 PLATINUM,1599,5,PETROL,12551,,,,,,,,,,,,,,,,,,,
FORD,FIESTA,1.6 EXI,1596,5,PETROL,12516,,,,,,,,,,,,,,,,,,,
AUDI,AUDI A6,35 TFSI MATRIX EDITION,1798,5,PETROL,34738,,,,,,,,,,,,,,,,,,,
SKODA,FABIA,ACTIVE PLUS 1.2 MPI,1198,5,PETROL,22876,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,ARIA,PLEASURE 4X2.,2179,7,DIESEL,25735,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,SUMO,VICTA CX 6STR,1948,6,DIESEL,24325,,,,,,,,,,,,,,,,,,,
SKODA,LAURA,L&K 2.0 TDI CR AT,1968,5,DIESEL,32613,,,,,,,,,,,,,,,,,,,
MARUTI,SWIFT,VXI,1298,5,PETROL,12796,,,,,,,,,,,,,,,,,,,
AUDI,AUDI A6,2.0 TFSI TECHNOLOGY PACK,1984,5,PETROL,28596,,,,,,,,,,,,,,,,,,,
AUDI,AUDI A6,2.0 TFSI PREMIUM PLUS,1984,5,PETROL,28597,,,,,,,,,,,,,,,,,,,
AUDI,AUDI A6,35 TFSI,1798,5,PETROL,32022,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,SLK-CLASS,SLK 350,3498,2,PETROL,12853,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,E-CLASS,E 350 D AVANTGARDE,2987,5,DIESEL,36012,,,,,,,,,,,,,,,,,,,
VOLKSWAGEN,AMEO,TRENDLINE (METALLIC),1198,5,PETROL,31825,,,,,,,,,,,,,,,,,,,
VOLKSWAGEN,AMEO,TRENDLINE,1198,5,PETROL,31826,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,INDIGO MANZA,LX QUADRAJET,1248,5,DIESEL,25839,,,,,,,,,,,,,,,,,,,
VOLKSWAGEN,AMEO,COMFORTLINE (METALLIC),1198,5,PETROL,31823,,,,,,,,,,,,,,,,,,,
MINI,COOPER S,3 DOOR HATCH,1998,4,PETROL,34694,,,,,,,,,,,,,,,,,,,
VOLKSWAGEN,POLO,ALLSTAR 1.2 (P),1198,5,PETROL,34680,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,SUMO,VICTA LX,1948,10,DIESEL,13027,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,SUMO,SE EGR,1948,10,DIESEL,17467,,,,,,,,,,,,,,,,,,,
MARUTI,IGNIS,DELTA PETROL,1197,5,PETROL,35647,,,,,,,,,,,,,,,,,,,
PORSCHE,MACAN,2.0 PETROL,1984,5,PETROL,34702,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,C-CLASS,C 200 BLUE EFFICIENCY,1796,5,PETROL,25873,,,,,,,,,,,,,,,,,,,
VOLKSWAGEN,POLO,GT TSI,1197,5,PETROL,26268,,,,,,,,,,,,,,,,,,,
SKODA,FABIA,SCOUT 1.2 MPI,1198,5,PETROL,24161,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,SAIL,1.2 LS,1199,5,PETROL,25894,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,A-CLASS,A180 SPORT PETROL,1595,5,PETROL,26281,,,,,,,,,,,,,,,,,,,
AUDI,AUDI Q7,3.0 TFSI QUATTRO,2995,5,PETROL,22765,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,SL-CLASS,500,5461,4,PETROL,17048,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,E-CLASS,E 350,3498,5,PETROL,17044,,,,,,,,,,,,,,,,,,,
MITSUBISHI,LANCER,1.5 LXI,1468,5,PETROL,12859,,,,,,,,,,,,,,,,,,,
MARUTI,CELERIO,VXI AMT (O),998,5,PETROL,35627,,,,,,,,,,,,,,,,,,,
MARUTI,IGNIS,ZETA DIESEL,1248,5,DIESEL,35638,,,,,,,,,,,,,,,,,,,
MARUTI,IGNIS,DELTA DIESEL AMT,1248,5,DIESEL,35639,,,,,,,,,,,,,,,,,,,
MARUTI,IGNIS,ALPHA DIESEL,1248,5,DIESEL,35640,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,B-CLASS,B 180,1595,5,PETROL,25334,,,,,,,,,,,,,,,,,,,
FIAT,URBAN CROSS,ACTIVE MULTIJET 1.3,1248,5,DIESEL,35922,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,E-CLASS,E 200 AVANTGARDE,1991,5,PETROL,32403,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,E-CLASS,E 230,2497,5,PETROL,32218,,,,,,,,,,,,,,,,,,,
AUDI,AUDI A4,30 TFSI PREMIUM PLUS,1395,5,PETROL,32440,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,SLC,43 AMG,2996,2,PETROL,35955,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,SPARK,1.0 LT OP (AIRBAG),995,5,PETROL,12567,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,ARIA,PURE 4X2,2179,7,DIESEL,22459,,,,,,,,,,,,,,,,,,,
VOLVO,S80,T4 Auto,1596,5,PETROL,22485,,,,,,,,,,,,,,,,,,,
MARUTI,ALTO,K10 VXI AMT,998,5,PETROL,35793,,,,,,,,,,,,,,,,,,,
FIAT,GRANDE PUNTO,1.4 EMOTION,1368,5,PETROL,12472,,,,,,,,,,,,,,,,,,,
FIAT,GRANDE PUNTO,1.2 ACTIVE,1172,5,PETROL,12466,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,OPTRA,1.6 LS ELITE,1598,5,PETROL,12549,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,OPTRA,1.8 LT AT,1799,5,PETROL,12555,,,,,,,,,,,,,,,,,,,
FORD,FIESTA,1.6 S,1596,5,PETROL,12517,,,,,,,,,,,,,,,,,,,
FORD,FIESTA,1.6 SXI ABS,1596,5,PETROL,12518,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,AVEO,1.6 LT ABS,1598,5,PETROL,16942,,,,,,,,,,,,,,,,,,,
MITSUBISHI,LANCER,1.5 GLXI,1468,5,PETROL,22823,,,,,,,,,,,,,,,,,,,
BMW,MINI COOPER,S,1598,5,PETROL,25403,,,,,,,,,,,,,,,,,,,
VOLVO,XC90,3.2 AWD,3192,7,PETROL,13090,,,,,,,,,,,,,,,,,,,
AUDI,AUDI RS7,SPORTBACK 4.0 TFSI QUATTRO,3993,4,PETROL,28190,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,ARIA,PURE LX 4X2,2179,7,DIESEL,25866,,,,,,,,,,,,,,,,,,,
BMW,X5,XDRIVE 35I PURE EXPERIENCE,2979,5,PETROL,35971,,,,,,,,,,,,,,,,,,,
VOLKSWAGEN,AMEO,HIGHLINE,1198,5,PETROL,31822,,,,,,,,,,,,,,,,,,,
AUDI,AUDI TT,2.0 TFSI QUATTRO.,1984,2,PETROL,26634,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,GLA,200 SPORT,1991,5,PETROL,28763,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,OPTRA,1.8,1799,5,PETROL,25924,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,B-CLASS,B 180 SPORTS,1595,5,PETROL,25333,,,,,,,,,,,,,,,,,,,
MINI,MINI COUNTRYMAN,1.6,1598,5,PETROL,24116,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,INDIGO,LS DICOR,1396,5,DIESEL,12961,,,,,,,,,,,,,,,,,,,
FIAT,URBAN CROSS,DYNAMIC MULTIJET 1.3,1248,5,DIESEL,35923,,,,,,,,,,,,,,,,,,,
FIAT,URBAN CROSS,EMOTION MULTIJET 1.3,1248,5,DIESEL,35924,,,,,,,,,,,,,,,,,,,
AUDI,AUDI A6,2.0 TFSI PREMIUM,1984,5,PETROL,28598,,,,,,,,,,,,,,,,,,,
FORD,FIESTA,1.6 ZXI,1596,5,PETROL,12519,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,OPTRA,1.6,1599,5,PETROL,12546,,,,,,,,,,,,,,,,,,,
MARUTI,IGNIS,DELTA DIESEL,1248,5,DIESEL,35637,,,,,,,,,,,,,,,,,,,
AUDI,AUDI TT,2.0 TFSI QUATTRO,1984,4,PETROL,26454,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,NANO GENX,XM,624,4,PETROL,29972,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,CL,65 AMG,5980,4,PETROL,12839,,,,,,,,,,,,,,,,,,,
AUDI,AUDI A7,SPORTBACK 3.0 TDI QUATTRO,2967,4,DIESEL,22069,,,,,,,,,,,,,,,,,,,
VOLKSWAGEN,GTI,1.8 TSI,1798,5,PETROL,35803,,,,,,,,,,,,,,,,,,,
FORD,ECOSPORT,TITANIUM 1.0 ECOBOOST OPT,999,5,PETROL,26386,,,,,,,,,,,,,,,,,,,
ICML,EXTREME,LD PS AC DI BS III 9 SEATER,1994,9,DIESEL,29441,,,,,,,,,,,,,,,,,,,
ICML,EXTREME,LD NON AC DI BS III 9 SEATER,1994,9,DIESEL,29442,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,SAIL HATCHBACK,1.3 LS,1248,5,DIESEL,30251,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,FORTUNER,2.5 TRD SPORTIVO 4 X 2 MT,2494,7,DIESEL,29390,,,,,,,,,,,,,,,,,,,
MARUTI,GYPSY,KING ST - BS IV,1298,8,PETROL,30260,,,,,,,,,,,,,,,,,,,
MARUTI,GYPSY,KING HT - BS IV,1298,8,PETROL,30259,,,,,,,,,,,,,,,,,,,
MARUTI,WAGON R,MINOR VXI AGS,998,5,PETROL,35707,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,SAIL HATCHBACK,1.2 BASE,1199,5,PETROL,30255,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,SAIL HATCHBACK,1.2 LS,1199,5,PETROL,30256,,,,,,,,,,,,,,,,,,,
AUDI,AUDI A6,35 TDI MATRIX EDITION,1968,5,DIESEL,30508,,,,,,,,,,,,,,,,,,,
MARUTI,NEW SWIFT DZIRE,VDI,1248,5,DIESEL,23101,,,,,,,,,,,,,,,,,,,
